Filename,Label,Confidence
94Dx40_good.png,good,0.9314
99Gx40_good.png,good,0.8185
84Fx40_bad.png,bad,0.4577
69Jx40_good.png,good,0.9862
82Dx40_bad.png,bad,0.0522
90Fx40_good.png,good,0.9208
84Xx40_bad.png,bad,0.3349
44Ix40_bad.png,good,0.7999
98Fx40_bad.png,good,0.9489
26Jx40_bad.png,good,0.6917
74Bx40_bad.png,bad,0.0293
16Bx40_good.png,bad,0.5713
85Jx40_bad.png,bad,0.0181
39down3x40_bad.png,bad,0.1332
65Ex40_good.png,good,0.9825
48Ax40_bad.png,good,0.6453
95Hx40_good.png,good,0.9557
107Tx40_good.png,good,0.9129
84Kx40_bad.png,bad,0.1537
75Cx40_bad.png,bad,0.0000
69Cx40_good.png,good,0.8938
96Cx40_good.png,good,0.8879
99Nx40_good.png,good,0.9306
67Bx40_good.png,good,0.9855
83Ex40_bad.png,bad,0.0232
60Bx40_good.png,good,0.8999
108Fx40_good.png,good,0.9938
95Ax40_good.png,good,0.9767
102Ex40_good.png,good,0.9558
20Ex40_bad.png,good,0.9312
92Ax40_good.png,good,0.9774
99Qx40_good.png,good,0.9365
47Cx40_bad.png,bad,0.5812
32Fx40_bad.png,bad,0.0713
84Ux40_bad.png,bad,0.1436
44Dx40_bad.png,bad,0.6160
17Bx40_good.png,good,0.6915
75Fx40_bad.png,bad,0.0001
69Fx40_good.png,good,0.9740
88Fx40_bad.png,bad,0.0046
15up4x40_good.png,good,0.8345
94Hx40_good.png,good,0.9853
31Ex40_good.png,good,0.9265
84Nx40_bad.png,bad,0.4607
26Bx40_bad.png,bad,0.1017
50Bx40_good.png,good,0.8020
32Cx40_bad.png,bad,0.0825
84Px40_bad.png,bad,0.0632
44Ax40_bad.png,good,0.7108
47Fx40_bad.png,good,0.7323
95Dx40_good.png,good,0.8786
108Cx40_good.png,good,0.9835
86Ex40_bad.png,bad,0.1750
85Bx40_bad.png,bad,0.2091
84Cx40_bad.png,bad,0.4212
82Ax40_bad.png,bad,0.1400
99Bx40_good.png,good,0.7262
66Bx40_good.png,good,0.9852
93Ax40_good.png,good,0.9728
85Qx40_bad.png,bad,0.3352
